Frequency (Hz),Channel 1 (V),Phase (deg)
20.92981831136445,6.028246391028294e-06,24.12577127501752
21.01888136800855,6.119341470879045e-06,-136.3868925111138
21.10794442465265,2.868222804192389e-06,53.53445906712497
21.19700748129676,2.506564912168197e-06,44.90692702714912
21.28607053794086,5.354682113885777e-06,-110.5564927557387
21.37513359458496,8.193531037361034e-06,103.2912700096841
21.46419665122907,1.182298616272583e-05,-60.68375992304302
21.55325970787317,1.350175636505395e-05,126.3677262972623
21.64232276451728,1.392046739384296e-05,-50.89181761465154
21.73138582116138,1.136069144657735e-05,126.5565248179379
21.82044887780549,6.60411972628297e-06,-53.70535902355269
21.90951193444959,4.916113822393446e-06,173.1247665227694
21.99857499109369,7.347911804240961e-06,23.35411407324038
22.0876380477378,8.884039476086372e-06,-151.7312119077283
22.1767011043819,1.044226682912203e-05,37.50951487722482
22.26576416102601,1.055915064428609e-05,-118.3552745574698
22.35482721767011,1.083627176948378e-05,88.62293419351003
22.44389027431421,1.132375280809241e-05,-72.25605379595054
22.53295333095832,8.169818071569468e-06,116.7837090250688
22.62201638760243,1.902748176313846e-06,-49.3110716450669
22.71107944424653,4.43434373934481e-06,-91.96886444767148
22.80014250089063,8.466604550273013e-06,99.77976795752785
22.88920555753473,7.133790282444681e-06,-72.19593950490093
22.97826861417884,2.430366901649638e-06,71.74119674901297
23.06733167082294,3.366761521420473e-06,169.4902796623222
23.15639472746705,4.487884029811526e-06,-30.14854233977235
23.24545778411115,5.724515040857554e-06,148.223559908152
23.33452084075525,4.998917827734433e-06,-17.64360634390255
23.42358389739936,1.678716142870081e-06,-147.2624815252873
23.51264695404346,3.12893367084729e-06,141.7055172486586
23.60171001068757,5.257922009642479e-06,-41.0690422470945
23.69077306733167,8.171997802335152e-06,116.8397886219266
23.77983612397577,1.02086620350383e-05,-87.84834226725147
23.86889918061988,1.046686467731957e-05,63.53470059065422
23.95796223726398,8.295363900073534e-06,-138.01231340132
24.04702529390809,3.816359662770187e-06,6.981018073621502
24.13608835055219,3.129917717518289e-06,103.7396185999912
24.2251514071963,1.04544379957253e-06,-110.0418692249128
24.3142144638404,5.266297657248043e-06,-99.17325827470418
24.4032775204845,9.548359043057278e-06,79.1260628151602
24.4923405771286,1.213692491946324e-05,-102.9999882776311
24.58140363377271,1.460796100790102e-05,74.77705920753093
24.67046669041682,1.166650958624692e-05,-107.3860498309102
24.75952974706092,6.763179156493293e-06,49.86247904348604
24.84859280370502,8.518477259991685e-06,-157.2213155920115
24.93765586034912,9.579031675248866e-06,5.366089733008171
25.02671891699323,9.01117294603811e-06,160.1762585052626
25.11578197363734,7.698201239732013e-06,-15.31491625358576
25.20484503028144,5.232413967482723e-06,-167.2638181779378
25.29390808692554,4.430167312725495e-06,51.66937083537977
25.38297114356965,6.443992821815645e-06,-113.9009941940783
25.47203420021375,7.116126697559708e-06,71.98619848425557
25.56109725685786,6.836681385105599e-06,-107.9885434311363
25.65016031350196,4.380414678452396e-06,44.6771343940521
25.73922337014606,5.357996169915473e-06,111.7766768439257
25.82828642679017,1.235106369373522e-05,-96.56326676068234
25.91734948343427,1.918407576862352e-05,70.88986591119775
26.00641254007838,2.4655662906937e-05,-119.0480479640508
26.09547559672248,2.361800707606683e-05,49.03909998968765
26.18453865336658,1.86403420213681e-05,-145.3672493175349
26.27360171001069,1.390170973442756e-05,16.15058468223293
26.36266476665479,9.070289789670961e-06,175.1201165594913
26.45172782329889,3.436380492633477e-06,1.387438434819111
26.540790879943,4.14514628158132e-06,-114.5589672927917
26.6298539365871,7.47919624579946e-06,83.13133252309163
26.71891699323121,1.079123192989534e-05,-85.53864963518286
26.80798004987531,1.038203508841386e-05,91.63281739964451
26.89704310651941,8.030132675327228e-06,-83.94342745133537
26.98610616316352,8.196394499258704e-06,117.3594494440932
27.07516921980762,9.913582428419095e-06,-51.92899904329631
27.16423227645173,1.202975577054433e-05,130.1958169749901
27.25329533309583,1.338627438421202e-05,-46.67291048612635
27.34235838973994,1.201899296126802e-05,139.3796739023055
27.43142144638404,7.618655574397845e-06,-33.57651493519745
27.52048450302814,2.131393106491857e-06,154.5487782661826
27.60954755967225,2.881696158396995e-06,-171.2500694525511
27.69861061631635,7.420466721171949e-06,24.85117540324947
27.78767367296046,9.924048970036177e-06,-141.8124035611948
27.87673672960456,9.769183536714349e-06,48.23425227308662
27.96579978624866,7.585142950583107e-06,-106.1382556066735
28.05486284289277,7.860020997952505e-06,133.8163208325944
